package, guess, num_versions, num_parsed_versions, breaking_versions
Codec-Image-DevIL, Unknown, 5, 4, 
Combinatorrent, Unknown, 6, 0, 
Command, Unknown, 6, 5, 0.0.4, 0.0.5, 0.0.6
Commando, Unknown, 4, 1, 
ComonadSheet, Unknown, 1, 0, 
Concurrent-Cache, PVP, 9, 8, 0.2.0.0
ConcurrentUtils, Unknown, 6, 0, 
Concurrential, PVP, 6, 3, 0.2.1.0, 0.5.0.0
Condor, Unknown, 3, 0, 
ConfigFile, Unknown, 10, 5, 1.0.6, 1.1.4
ConfigFileTH, Unknown, 2, 0, 
Configger, Unknown, 1, 0, 
Configurable, Unknown, 1, 0, 
ConsStream, Unknown, 1, 0, 
Conscript, Unknown, 1, 0, 
ConstraintKinds, PVP, 7, 6, 1.1.0.0, 1.3.0
Consumer, Unknown, 1, 0, 
ContArrow, Unknown, 5, 0, 
ContextAlgebra, Unknown, 4, 0, 
Contract, Unknown, 1, 0, 
Control-Engine, SemVer, 9, 8, 0.0.4, 0.0.6, 1.0.0.0, 1.1.0.1
Control-Monad-MultiPass, Unknown, 1, 0, 
Control-Monad-ST2, Unknown, 1, 0, 
CoreDump, Unknown, 4, 3, 
CoreErlang, Unknown, 3, 2, 0.0.3
CoreFoundation, Unknown, 1, 0, 
Coroutine, Unknown, 1, 0, 
CouchDB, Unknown, 11, 5, 0.8.1.2, 0.10.1, 1.2.1
Craft3e, Unknown, 10, 0, 
Crypto, Unknown, 9, 6, 4.2.2, 4.2.5
CurryDB, Unknown, 2, 0, 
DAG-Tournament, Unknown, 1, 0, 
DAV, Unknown, 27, 1, 
DBlimited, Unknown, 2, 0, 
DBus, Unknown, 6, 2, 
DCFL, Unknown, 7, 1, 0.1.6.0
DMuCheck, Unknown, 3, 0, 
DOM, Unknown, 3, 2, 2.0.1
DP, Unknown, 2, 0, 
DPM, Unknown, 4, 2, 
DPutils, Unknown, 1, 0, 
DRBG, Unknown, 17, 7, 0.1.1, 0.1.2, 0.2.2
DSA, SemVer, 4, 2, 1.0.0, 1.0.1
DSH, Unknown, 35, 10, 0.8.0.1, 0.8.1.0, 0.8.2.0
DSTM, Unknown, 3, 1, 0.1.2
DTC, PVP, 4, 3, 1.1.0, 1.1.0.1
Dangerous, Unknown, 11, 8, 0.2.1
Dao, Unknown, 2, 0, 
DarcsHelpers, Unknown, 1, 0, 
Data-Hash-Consistent, Unknown, 2, 0, 
Data-Rope, Unknown, 3, 1, 
DataIndex, Unknown, 2, 1, 
DataTreeView, Unknown, 2, 1, 0.1.1
Deadpan-DDP, Unknown, 17, 0, 
DebugTraceHelpers, PVP, 3, 2, 0.12
Decimal, Unknown, 8, 3, 0.2.2, 0.3.1
DecisionTree, Unknown, 1, 0, 
DeepArrow, Unknown, 9, 3, 0.3.3
DefendTheKing, Unknown, 5, 0, 
Delta-Lambda, Unknown, 2, 0, 
DescriptiveKeys, Unknown, 2, 0, 
Dflow, Unknown, 1, 0, 
Diff, PVP, 10, 9, 0.1.2, 0.2.0, 0.3.3
DifferenceLogic, Unknown, 3, 0, 
DifferentialEvolution, Unknown, 2, 0, 
Digit, Unknown, 3, 2, 
DigitalOcean, Unknown, 2, 0, 
DimensionalHash, PVP, 8, 7, 0.1, 0.1.4
DirectSound, Unknown, 1, 0, 
DisTract, Unknown, 1, 0, 
DiscussionSupportSystem, Unknown, 2, 0, 
Dish, Unknown, 5, 0, 
Dist, PVP, 4, 3, 0.4.0.0
DistanceTransform, Unknown, 1, 0, 
DistanceUnits, Unknown, 2, 0, 
DnaProteinAlignment, Unknown, 1, 0, 
DocTest, Unknown, 11, 0, 
Docs, Unknown, 1, 0, 
DrHylo, Unknown, 2, 0, 
DrIFT, Unknown, 3, 1, 
DrIFT-cabalized, Unknown, 5, 0, 
Dung, PVP, 4, 3, 1.0, 1.1
Dust, Unknown, 5, 0, 
Dust-crypto, Unknown, 1, 0, 
Dust-tools, Unknown, 8, 0, 
Dust-tools-pcap, Unknown, 3, 0, 
DynamicTimeWarp, Unknown, 1, 0, 
DysFRP, Unknown, 1, 0, 
DysFRP-Cairo, Unknown, 1, 0, 
DysFRP-Craftwerk, Unknown, 1, 0, 
EEConfig, Unknown, 1, 0, 
Earley, PVP, 13, 10, 0.7.0, 0.8.0, 0.8.3, 0.9.0, 0.10.1.0, 0.11.0.0
Ebnf2ps, Unknown, 8, 0, 
EdisonAPI, PVP, 5, 4, 1.2.2, 1.3, 1.3.1
EdisonCore, PVP, 9, 4, 1.3, 1.3.1
EditTimeReport, Unknown, 1, 0, 
EitherT, PVP, 3, 2, 0.1.0
Elm, PVP, 53, 27, 0.1.2, 0.8, 0.12.2
Emping, Unknown, 8, 0, 
Encode, Unknown, 11, 5, 
EntrezHTTP, Unknown, 4, 1, 
EnumContainers, Unknown, 1, 0, 
EnumMap, Unknown, 2, 1, 0.0.2
Eq, Unknown, 7, 0, 
EqualitySolver, Unknown, 3, 1, 
EsounD, Unknown, 2, 0, 
EstProgress, Unknown, 3, 2, 
EtaMOO, Unknown, 3, 0, 
Etage, Unknown, 13, 5, 0.1.8, 0.1.9, 0.1.10, 0.1.11, 0.1.12
Etage-Graph, Unknown, 7, 1, 
Eternal10Seconds, Unknown, 2, 0, 
Etherbunny, Unknown, 2, 0, 
EuroIT, Unknown, 1, 0, 
Euterpea, SemVer, 6, 4, 2.0.0, 2.0.1
EventSocket, Unknown, 1, 0, 
Extra, PVP, 9, 6, 1.33, 1.42, 1.46.2
FComp, Unknown, 3, 2, 1.0.1
FM-SBLEX, Unknown, 2, 0, 
FModExRaw, Unknown, 4, 0, 
FPretty, Unknown, 2, 1, 
FTGL, PVP, 7, 6, 1.1, 1.4, 1.333, 2.0
FTGL-bytestring, Unknown, 1, 0, 
FTPLine, Unknown, 8, 0, 
Facts, Unknown, 3, 2, 0.1.2
FailureT, Unknown, 2, 0, 
